ID,Name,Ludian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,"Alexandra Rodionova, p.c.",,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,"Alexandra Rodionova, p.c.;Ojansuu 1934: 277[example2]",nämä jä-i;3PL stay-PST.3SG;they stayed;|kai külä kerävütt'ih;all village gather-PASS.PST;,"Possible, but rare."
UT003,Can finite verbs agree in number with the nominal object?,0,"Alexandra Rodionova, p.c.",,
UT004,Can an adnominal property word agree with the noun in case?,1,"Alexandra Rodionova, p.c.",vahna-s kodi-š;old-INE house-INE;in an old house;,
UT005,Are there cases that do not show agreement in terms of case?,1,"Alexandra Rodionova, p.c.","vahna-n aka-nke;old-GEN woman-COM;with an old woman;
",
UT006,Can adpositions be used to mark core verbal arguments?,0,"Alexandra Rodionova, p.c.",,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,"Alexandra Rodionova, p.c.",se ol-i voina-d vaste;it be-PST.3SG war-PRT before;it was before the war;,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,Ojansuu et al. 1934: 281,Keväde-л лume-n lähte-düi peлdo-d kuive-tah;spring-ADE snow-GEN go-PASS.PST.PTCP.PRT field-PL dry-PASS.PRS;In the spring after snow is gone the fields are dried;,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Alexandra Rodionova, p.c.",,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,"Alexandra Rodionova, p.c.",,
UT011,Does object marking correlate with aspectuality? ,1,"Alexandra Rodionova, p.c.",lämbitä-n külü-n;heat-1SG sauna-GEN;I heat the sauna;|lämbitän-n külü-d;heat-1SG sauna-PRT;I'm heating the sauna;,
UT012,Does the marking of the object depend on the verb conjugation form? ,1,"Alexandra Rodionova, p.c.",Luge kird´!;read.IMP.2SG book.NOM;Read the book!;|Ela ~ Ala ~ Älä luge kird´a-d!;NEG.IMP.2SG read.IMP.2SG book-PRT;Don't read the book!;,
UT013,Is there differential subject marking?,1,"Alexandra Rodionova, p.c.",Mečä-s kazvau mard´ioi;forest-INE grow.3SG berry.PL.PRT;There are berries growing in the forest;,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,Ojansuu et al. 1934: 280,"muamah ottau лapse-n pätši-л, andau buaba-лe;mother take.3SG child-GEN stove-ADE/ABL give.3SG midwife-ALL;Mother takes the child from top of the (Russian) stove and gives to the midwife;",
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Alexandra Rodionova, p.c.",,
UT016,Is there a grammatical device for habituality?,0,"Alexandra Rodionova, p.c.",,
UT017,Is there a grammatical device for frequentative?,1,Kujola 1944: 199[example1];Kujola 1944: 59[example2],kärbäiže-d lende-ltäh;fly-PL fly-FRQ.PASS.PRS;flies are flying (around);|haikosteltaze;;to yawn (continually);,
UT018,Is there a grammatical device for progressivity?,1,"Alexandra Rodionova, p.c.",hän on kirgita-ma-s kird’a-d;3SG be.3SG write-SUP-INE book-PRT;he is writing a book;,
UT019,Is it common to use a verb in the present tense for future time reference? ,1,Ojansuu et al. 1934: 277,ole sīt kohta-s müö tuлe-mmo sinu-ллu;be.IMP.2SG that place-INE 1PL come-1PL you-PROP;Be in that place we'll come to you;,
UT020,Is there a grammatical device for immediate future?,1,"Alexandra Rodionova, p.c.",surm on tuлe-ma-s;death be.3SG come-SUP-INE;death is coming;,
UT021,Is there a grammatical device for pluperfect?,1,"Alexandra Rodionova, p.c.",ol-i-n nai-nu tä-s küla-s;be-PST-1SG get_married-ACT.PST.PTCP this-INE village-INE;I had got married in this village;,
UT022,Can aspect be expressed overtly on the negative marker?,0,"Alexandra Rodionova, p.c.",,
UT023,Can tense be expressed overtly on the negative marker?,0,"Alexandra Rodionova, p.c.",,Negation is formed using a negative particle. 
UT024,Is there grammatical marking of mirativity?,0,"Alexandra Rodionova, p.c.",,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,"Alexandra Rodionova, p.c.",,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,"Alexandra Rodionova, p.c.",mina lug-iži-n;1SG read-COND-1SG;I would read;|luge-nu-iži-n;read-ACT.PST.PTCP-COND-1SG;I would have read;,
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,Ojansuu et al. 1934: 62,anda-nu-iž d'eńgad;give-ACT.PST.PTCP-COND money.PL;(s/he) would have given money;,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,"Alexandra Rodionova, p.c.",,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility? ,1,"Alexandra Rodionova, p.c.",luge-ne-n;read-POT-1SG;Probably I read;,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility? ,0,"Alexandra Rodionova, p.c.",,
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,"Alexandra Rodionova, p.c.",Tul-gah hän pert´-he;come-JUSS.3SG s/he house-ILL;Let him/her come in the house;,
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,0,"Alexandra Rodionova, p.c.",,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will? ,0,"Alexandra Rodionova, p.c.",,Conditional mood is used instead.
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,"Alexandra Rodionova, p.c.",,
UT035,Is there reflexive conjugation?,1,Ojansuu et al. 1934: 289,"tedri tuлou, ištu-heze pualika-le;grouse come.3SG sit-REFL.3SG stick-ALL;A grouse comes, sits itself on a stick;",
UT036,Are there syntactically ditransitive verbs?,0,"Alexandra Rodionova, p.c.",,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,"Alexandra Rodionova, p.c.",,
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,1,"Alexandra Rodionova, p.c.",hüö suadb pide-ttih;3PL wedding hold-IPS.PST;They held a wedding;,
UT039,Can third person plural verb forms be used for impersonal reference?,0,"Alexandra Rodionova, p.c.",,
UT040,Can second person singular verb forms be used in generic meaning?,1,PLS 2012:98,"Ku äijä-n tiedä-ne-t, siid terväh vahna-ne-d;if much-GEN know-POT-2SG then fast become_old-2SG;If you know (one knows) much you get (one gets) old fast;",
UT042,Are clauses with only infinitive predicates possible?,0,"Alexandra Rodionova, p.c.",,
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,1,PLS 2012: 17,"miksebo sinu-l on piä hardie-l, šuapkuo kanda-mah vai ruaduo ruada-mah?;why 2SG-ADE be.3SG head shoulder-PL.ADE, boot.PL.PART wear-SUP.ILL or work.PART work-SUP.ILL;why do you have a head on your shoulders, to wear boots or for work;",
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,"Alexandra Rodionova, p.c.",Vihmu-b;rain-3SG;It is raining;|Panou lun-d;put.3SG snow.PRT;It is snowing;,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,1,"Alexandra Rodionova, p.c.",Häin on mečnik;3SG be.3SG forest_ranger;S/he is a forest ranger;,
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,"Alexandra Rodionova, p.c.",muamo da tuatto oldih karjalaiže-t;mother and father be.PASS.PST Karelian-PL;mother and father were Karelians;,
UT047,Can locative adverbial phrases act as predicates without a copula?,0,"Alexandra Rodionova, p.c.",,
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses? ",1,"Alexandra Rodionova, p.c.",rist'iža i rist'emä;;godfather and godmother;;|tuлe-mme i ota-mme;come-1PL and take-1PL;we come and take;,Conjunctions i and da are used.
UT049,Does existential negation have a separate operator?,0,"Alexandra Rodionova, p.c.",,
UT050,Can standard negation be asymmetric in the present tense?,1,"Alexandra Rodionova, p.c.",ota-n : en ota;take-1SG : NEG.1SG take.CNG;I take : I don't take,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,"Alexandra Rodionova, p.c.",,Such constructions can hardly be attested.
UT052,Is there a special negator that combines with non-finite forms?,0,"Alexandra Rodionova, p.c.",,
UT053,Are there special negative non-finite forms?,1,"Alexandra Rodionova, p.c.",malta-mattah;can-SUP.ABE;without skills;,
UT054,Is there an impersonal passive construction?,1,"Alexandra Rodionova, p.c.",lähte-däh aigoi huondekse-л;leave-PASS.PRS early morning-ADE;(People) are leaving early in the morning;Ojansuu et al. 1934: 282,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,"Alexandra Rodionova, p.c.",hiihtä-i mužik;ski-AG.NMLZ man;a skiing man;,
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",0,"Alexandra Rodionova, p.c.",,
UT057,"Are there nonfinite forms that can relativize at least some noncore participants, e.g. locative adverbials or instruments, but cannot relativize all or some of the core participants, e.g. subjects?",0,"Alexandra Rodionova, p.c.",,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negation marker?",0,"Alexandra Rodionova, p.c.",,
UT059,Is there a future participle?,0,"Alexandra Rodionova, p.c.",,
UT060,Are there participles that can encode their subject by possessive suffixes?,0,"Alexandra Rodionova, p.c.",,
UT061,Can subject in at least some participial subordinate clauses be encoded in the same way as in independent clauses?,0,"Alexandra Rodionova, p.c.",,
UT062,Are there participles that obligatorily agree with the nouns they modify in case and number (in all contexts)?,1,"Alexandra Rodionova, p.c.","luge-tu-i-d kird´oid;read-PASS.PST.PTCP-PL-PRT book.PL.PRT;;
",
UT063,Are there nonfinite forms that can be used both as participles and action nominalizations?,0,"Alexandra Rodionova, p.c.",,
UT064,Are there nonfinite forms that can be used both as participles and agentive nominalizations?,1,"Alexandra Rodionova, p.c.",pajata-i;sing-AG.NMLZ;a singer;|pajata-i poig;sing-AG.NMLZ boy;a singing boy;,
UT065,"Are there nonfinite forms that can be used both as participles and converbs without any additional morphological material, such as case markers?",0,"Alexandra Rodionova, p.c.",,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,"Alexandra Rodionova, p.c.",Jo čaju-d!;drink.IMP.2SG tea-PRT;Drink tea!;,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions? ,1,"Alexandra Rodionova, p.c.",El-gat hän-dä nostata-kkad!;NEG.IMP-2PL he-PRT wake_2PL;Don't wake him up!;,
UT068,Are there preverbs?,0,"Alexandra Rodionova, p.c.",,
UT069,Are there verbal prefixes?,0,"Alexandra Rodionova, p.c.",,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,"Alexandra Rodionova, p.c.",,
UT071,Can modifiers of action nominalization in agent and patient roles both be marked like possessors?,1,"Alexandra Rodionova, p.c.",poiga-n peze-nd;boy-GEN wash-NMLZ;washing the boy / boy's washing;,
UT072,"Can the modifier of action nominalization in patient role (e.g. ""drinking of coffee"") be marked like the direct object?",1,"Alexandra Rodionova, p.c.","pajo-n kirg´ita-mine;song-GEN write-NMLZ;song writing;|kirg'ita-n pajo-n;write-1SG song-GEN;I'll write a song;
",
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,"Alexandra Rodionova, p.c.",pu-d oma/oldaze korgeda-d;tree-PL be.3PL/be.IPS.PRS high-PL;The trees are high;,
UT074,Is it possible to form synthetic superlative?,1,"Alexandra Rodionova, p.c.",vahn-in;old-SPRL;the oldest;,
UT075,Can adpositions have person/number marking?,0,"Alexandra Rodionova, p.c.",,
UT076,"Are there separate adpositions to express goal, source, and location (without there being syncretism)?",1,"Alexandra Rodionova, p.c.",kato-n piäлe : kato-n  piäл : kato-n piäлpiäi;roof-GEN onto : roof-GEN on : roof-GEN from;onto the roof : on the roof : from top of the roof;,"However, piäл may also be used in the ablative function."
UT077,Is case compounding possible?,0,"Alexandra Rodionova, p.c.",,
UT078,Are there case categories only found in pronouns?,1,"Alexandra Rodionova, p.c.",minu-d;I-ACC;me;,The accusative case is used only with pronouns.
UT079,Does the numeral modification of a noun have an effect on its case selection? ,1,"Alexandra Rodionova, p.c.",üks lehm : neljä lehmä-d;one.NOM.SG cow.NOM.SG : four.NOM.SG cow-PRT.SG;one cow : four cows;,
UT080,Is the singular form of the noun also used with numerals bigger than 1?,1,"Alexandra Rodionova, p.c.",üks lehm : neljä lehmä-d;one.NOM.SG cow.NOM.SG : four.NOM.SG cow-PRT.SG;one cow : four cows;,
UT081,Is there a genitive case that has an affix?,1,"Alexandra Rodionova, p.c.",lehmä-n nimi;cow-GEN name;cow's name;,
UT082,Is there a dative case used to express indirect object/receiver/goal (different from a local case)?,0,"Alexandra Rodionova, p.c.",,
UT083,Is there a terminative case?,1,Ojansuu 1934: 280,"peldo-ssuah;field-TERM;until the field;|лumessah;snow-TERM;until the snow;
",
UT084,Is there a separate case to indicate without what/who an action takes place / does not take place?,1,,tul-i-n mecä-spiäi mard´a-ta;come-PST-1SG forest-ELA berry-ABE;I came from the forest without berries;,
UT085,Is there a separate case to mark the motion along or by the referent of the noun (prolative)?,0,"Alexandra Rodionova, p.c.",,"Prolative forms are used only infrequently, e.g. meca-či  (forest-PROL) 'through the forest'."
UT086,Is there a locative case that marks goal?,1,Ojansuu et al. 1934: 286,d'ärve-le;lake-ALL;onto the lake;,
UT087,Is there a locative case that marks location?,1,Ojansuu et al. 1934: 276|,doroga-л;street-ADE;on the street;,
UT088,Is there a locative case that marks source?,1,"Alexandra Rodionova, p.c.",školaspiäi;school-ELA;from the school;,
UT089,Is there case syncretism of goal and location marking?,0,"Alexandra Rodionova, p.c.",,
UT090,Is there case syncretism of location and source marking?,1,"Alexandra Rodionova, p.c.",met'šäs;forest-INE/ELA;in the forest/from the forest;,
UT091,Are there two sets of local cases?,1,"Alexandra Rodionova, p.c.",piha-le: piha-l : piha-lpiäi;yard-ALL : yard-ADE : yard-ABL;to the yard : in the yard : from the yard;|pät'ših : pät'šis : pät'šispiäi;,"However, pihal can mark location as well as source"
UT092,Is there a third set of local cases?,1,"Alexandra Rodionova, p.c.",,"However, there is overlap in goal and location marking, e.g. kod'illu can mean 'to near the house' as well as 'near the house'. Source can be marked by -llupiäi, e.g. kod'illupiäi 'from near the house'."
UT093,Is there a separate case for marking the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,1,"Alexandra Rodionova, p.c.",kirveheidenke;ax.PL.COM;with axes;,
UT094,"Is there a separate case for marking accompaniment, which is different from the instrumental?",0,"Alexandra Rodionova, p.c.",,
UT095,Is there a separate case for marking the result of change (translative) and/or a state of being (essive)?,1,Ojansuu et al. 1934: 289,stoikke pidäu tahko-ta tahko-l ülen teräväks;scythe must.3SG whet-INF whetstone-ADE very sharp-TRA;The scythe must be whetted very sharp with a whetstone;,
UT096,"Is there a separate case for marking the state of being (essive), which is different from the translative?",1,"Alexandra Rodionova, p.c.",minu-l papa paimoi-n oli kaks kezä-d;1SG-ADE father shepherd-ESS be.PST.3SG two summer-PRT;my father was a shepherd for two summers;,
UT097,Is there a separate morphological marker for expressing equative meaning?,0,"Alexandra Rodionova, p.c.",,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,"Alexandra Rodionova, p.c.",,A postposition is used (niškoi ~varoin 'for').
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,0,"Alexandra Rodionova, p.c.",,
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,"Alexandra Rodionova, p.c.",,
UT101,Can the marking of the possessor in the attributive construction vary?,0,"Alexandra Rodionova, p.c.",,
UT102,Can the possessor in the attributive construction be marked with the nominative?,0,"Alexandra Rodionova, p.c.",,
UT103,Is non-singular possession marked in the possessive declension?,0,"Alexandra Rodionova, p.c.",,
UT104,Can 2Sg possessive suffix be used to mark definiteness? ,0,"Alexandra Rodionova, p.c.",,
UT105,Can 3Sg possessive suffix be used to mark definiteness? ,0,"Alexandra Rodionova, p.c.",,
UT106,Is there animacy distinction in independent interrogative pronouns?,1,"Alexandra Rodionova, p.c.","mi ~ mii;;what;|ken;;who;
",
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",0,"Alexandra Rodionova, p.c.",,
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",0,"Alexandra Rodionova, p.c.",,
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,1,"Alexandra Rodionova, p.c.",se tulou kodih;it come.3SG home.ILL;S/he comes home;,
UT110,Is the order of possessive suffix and case suffix across the paradigm the same?,1,"Alexandra Rodionova, p.c.",poga-ńi;son-POSS.1SG;my son;|tuatta-s;father-POSS.3SG;your father;,"However, the use of possessive suffixes is rare; they are mainly attested in folksongs and with words denoting close relatives"
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,1,Ojansuu et al. 1934: 284,sarai-лoi-л;raft-PL-ADE;on the rafts;,
UT112,Are there different words for mother’s brother and father’s brother?,0,"Alexandra Rodionova, p.c.",,
UT113,Are there different words for younger and older relative for other relations than siblings?,0,"Alexandra Rodionova, p.c.",,
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,"Alexandra Rodionova, p.c.",,
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,"Alexandra Rodionova, p.c.",,
UT116,Is there contrastive length of consonants?,1,"Aleksandra Rodionova & Eva Saar, p.c.",hukkad [ˈhuk.kad] wolf.PRT.SG vs. hukad [ˈhu.kad] wolf.PL,
UT117,Is there contrastive length of vowels?,1,"Aleksandra Rodionova & Eva Saar, p.c.",tuli [ˈtu.lʲiˑ] ‘fire’ vs. tuuli [ˈtuː.lʲi]  ‘wind’,
UT118,Is there contrast between short and long unstressed vowels?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT119,Is there contrast in duration of geminate consonants?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT120,Are there more than two phonological quantities? ,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT121,Are there extralong syllables? ,1,"Aleksandra Rodionova & Eva Saar, p.c.","d´uoksii [ˈdʲuok.sij] 'running, runner'",
UT122,Is the main foot structure trochaic?,1,"Aleksandra Rodionova & Eva Saar, p.c.",kana [ˈka.naˑ] ’hen’,
UT123,Is there lexically distinctive word stress?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT124,Is there morphologically conditioned stress?,1,"Aleksandra Rodionova & Eva Saar, p.c.",sömine [ˈsøˌmi.ne] 'eating',
UT125,Is there fixed primary stress?,1,"Aleksandra Rodionova & Eva Saar, p.c.",kana [ˈka.naˑ] 'hen',
UT126,Is there stress in heavy syllables?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT127,Is there non-initial primary stress?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT128,Is there palatal vowel harmony?,1,"Aleksandra Rodionova & Eva Saar, p.c.",süödä [ˈsyø.dæ] eat.INF,"Palatl vowel harmony is, however, irregular, e.g. ńeičükät ~ ńeičukät girl.PL"
UT129,Is there velar vowel harmony?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT130,Is there labial vowel harmony? ,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT131,Are there rising diphthongs? ,1,"Aleksandra Rodionova & Eva Saar, p.c.","kauh [kauh] 'scoop, dipper'",
UT132,Are there lowering diphthongs?,1,"Aleksandra Rodionova & Eva Saar, p.c.",tuohuz [ˈtuo.huz] 'candle',
UT133,Is there qualitative contrast between subsets of short and long vowels?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT134,Are there full vs. reduced vowels as contrastive subsets? ,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT135,Is there front high rounded vowel ü [y]?,1,"Aleksandra Rodionova & Eva Saar, p.c.",küla ~ külä [ˈky.læˑ] 'village',
UT136,Is there front midhigh rounded vowel ö [ø]?,1,"Aleksandra Rodionova & Eva Saar, p.c.",pühöi  [ˈpy.høi] 'the name of the cow born on Sunday',
UT137,Is there back high unrounded vowel ï [ɯ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT139,Is there back low round vowel [ɒ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,"Aleksandra Rodionova & Eva Saar, p.c.",päreh [ˈpæ.reh] ‘pine splinter’ vs. pereh [ˈpe.reh] ‘family’,
UT141,Are there word-initial consonant clusters?,1,"Aleksandra Rodionova & Eva Saar, p.c.","skraba [ˈskra.baˑ] 'rusk, sea bread'",
UT142,Are there word-internal consonant clusters in syllable onset?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT143,Are there consonant clusters in syllable coda?,1,"Aleksandra Rodionova & Eva Saar, p.c.","hurštid [ˈhurʃ.tʲid] 'fabrics, towels, carpets'",
UT144,Are there clusters of three or more consonants in a word between vowels?,1,"Aleksandra Rodionova & Eva Saar, p.c.","hurštid [ˈhurʃ.tʲid] 'fabrics, towels, carpets'",
UT145,Are there word-final clusters of three or more consonants?,1,"Aleksandra Rodionova & Eva Saar, p.c.","huršt [ˈhurʃtʲ] '(linen) fabric, towel, carpet' ",
UT146,Are there palatalized dentals? ,1,"Aleksandra Rodionova & Eva Saar, p.c.",hill´ [ˈhilʲː] 'quiet',Cf. hall [halː] ‘frost’
UT147,Are there palatalized labials and velars? ,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT148,Is there palatal stop [c]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT149,Is there palatal nasal [ɲ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT150, Is there palatal lateral [ʎ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT151,Is there phonemic velar nasal [ŋ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT152,Is there dental affricate [t͡s]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,"Only in loanwords, e.g. cuar´ [t͡suarʲ] 'czar', revolucaid revolution.PRT.SG"
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,"Aleksandra Rodionova & Eva Saar, p.c.","čipettädä [ˈt͡ʃi.pet.tæ.dæ] 'drizzle', čakata [ˈt͡ʃa.ka.ta] 'quarrel; squabble'",
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,"Aleksandra Rodionova & Eva Saar, p.c.",mušto [ˈmuʃ.to] 'memory',
UT155,"Are there voiced plosives [b, g, d]?",1,"Aleksandra Rodionova & Eva Saar, p.c.",babarm [ˈba.barm] 'raspberry',
UT156,Is there glottal stop [ˀ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT158,Is there a constraint on word-initial r?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT159,Is there laryngeal fricative [h]?,1,"Aleksandra Rodionova & Eva Saar, p.c.",hein [hein] 'hay',
UT160,Is there voiced velar fricative [ɣ]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT161,Is there voiceless velar fricative [x]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT162,Is there voiced dental fricative [ð]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT163,Is there phonemic labio-velar approximant [w]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT164,Is there voiceless labiodental fricative [f]?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,
UT165,Is there radical qualitative consonant gradation?,0,"Aleksandra Rodionova & Eva Saar, p.c.",,"Only quantitative consonant gradation (see UT165).
"
UT166,Is there quantitative consonant gradation?,1,"Aleksandra Rodionova & Eva Saar, p.c.",hukkad [ˈhuk.kad] wolf.PRT.SG vs. hukad [ˈhu.kad] wolf.NOM.PL,
